ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff,E_Ed_std,E_Ed_diff,E_Fp,E
1,0,3,2,OSI,0.6523360657963089,True,0.3842037579979602,0.0564421191811561,0.4727337658405304,-0.4581725001335144,0.38547796,True,0.0755603872112543,0.0425641712557187,0.43979130765965524,0.0425641712557187,0.61452204,0.5271566738298277
2,0,3,2,OSI,0.6939293233746741,False,0.4257970155763254,0.0731031447649002,0.5043109059333801,0.2810467481613159,0.3318362,True,0.0784313427003107,0.0449383760536279,0.3404028325956635,0.0449383760536279,0.6681638,0.5042833162978317
3,0,3,2,OSI,0.72912383801342,False,0.4609915302150713,0.0497358255088329,0.5202920436859131,0.1952440738677978,0.42312527,True,0.0798260440853126,0.046115200474652,0.47979654611711375,0.046115200474652,0.57687473,0.5283356380585569
4,0,3,2,OSI,0.8252729977186863,False,0.5571406899203377,0.0868769437074661,0.7910381555557251,0.1836041808128357,0.41301703,True,0.0988024930519515,0.0637300807748653,0.2582376101813053,0.0637300807748653,0.58698297,0.42261029009065265
1,1,3,2,OSI,0.851074519234106,True,0.5829422114357574,0.0625330284237861,0.9448789954185486,-0.3145670592784881,0.2315976,True,0.1067418527726834,0.0720432907417055,0.40345703889958473,0.0720432907417055,0.7684024,0.5859297194497923
2,1,3,2,OSI,0.8425111209319883,False,0.5743788131336396,0.0733358263969421,0.4030653834342956,0.3898358941078186,0.4099626,True,0.0686259536143117,0.037091187479111,0.3390148104437373,0.037091187479111,0.5900373999999999,0.46452610522186866
1,10,3,2,OSI,0.7797350926355968,True,0.5116027848372482,0.0506517775356769,0.597275972366333,-0.044533684849739,0.4946284,True,0.0860498708602963,0.0515578823604478,0.47433259224931473,0.0515578823604478,0.5053715999999999,0.4898520961246573
2,10,3,2,OSI,0.6457742404987671,False,0.3776419327004184,0.0545802526175975,0.9509916305541992,0.4517833590507507,0.6230193,True,0.1070260925242155,0.0723518784333196,0.45089795158109985,0.0723518784333196,0.37698069999999995,0.41393932579054993
1,11,3,2,OSI,0.7896233880845464,False,0.5214910802861976,0.0230485294014215,0.1928251683712005,0.8997576236724854,0.29796574,True,0.0408738718074156,0.018614864549059,0.6389950090427536,0.018614864549059,0.70203426,0.6705146345213768
2,11,3,2,OSI,0.7859621924090547,False,0.5178298846107061,0.0772549137473106,0.4007449746131897,-0.3088194131851196,0.80554754,True,0.0683793954458526,0.0369032600913398,0.31563617066926,0.0369032600913398,0.19445246000000005,0.25504431533463
3,11,3,2,OSI,0.8416246800711201,False,0.5734923722727714,0.0272606685757637,0.294282466173172,0.1909745931625366,0.7739867,True,0.0557846589364833,0.0278879167045417,0.6138682191467204,0.0278879167045417,0.22601329999999997,0.4199407595733602
4,11,3,2,OSI,0.7061702569922833,False,0.4380379491939346,0.1223091557621955,1.450401782989502,-0.2267900556325912,0.7446514,True,0.1247000340251164,0.0931205127298576,0.04687285916024777,0.0931205127298576,0.25534860000000004,0.1511107295801239
1,12,3,2,OSI,0.5304943405838891,True,0.2623620327855404,0.0725908130407333,0.8597215414047241,0.2380045652389526,0.64061946,True,0.1025450094544054,0.0675759039152195,0.3434590591488197,0.0675759039152195,0.35938053999999997,0.35141979957440983
1,13,3,2,OSI,0.726685080728294,False,0.4585527729299453,0.0294247008860111,0.1882841289043426,0.1343429088592529,0.3276166,True,0.0401236174478333,0.0181861400852286,0.6009590575693835,0.0181861400852286,0.6723834,0.6366712287846917
2,13,3,2,OSI,0.7765418190575504,False,0.5084095112592018,0.0496964827179908,0.5352057218551636,-0.0539083816111087,0.51015294,True,0.0810940914592322,0.0471986206111059,0.480031238751544,0.0471986206111059,0.48984706,0.484939149375772
3,13,3,2,OSI,0.7467008555894358,False,0.4785685477910871,0.0206992924213409,0.1975930780172348,-0.3000860214233398,0.030571166,True,0.0416531106888971,0.0190638841276811,0.6530089771409695,0.0190638841276811,0.969428834,0.8112189055704848
1,14,3,2,OSI,0.7930685569340341,False,0.5249362491356855,0.0534692406654357,0.4019322693347931,-0.0328779965639114,0.29742438,True,0.0685056869931128,0.0369994635412896,0.45752550179691404,0.0369994635412896,0.70257562,0.580050560898457
2,14,3,2,OSI,0.8870010611920247,False,0.6188687533936761,0.1311533600091934,2.204225540161133,0.0513085611164569,0.4425177,True,0.1397264530821341,0.1134252020096937,0.0,0.1134252020096937,0.5574823,0.27874115
3,14,3,2,OSI,0.7321848900552308,False,0.4640525822568821,0.0247272904962301,0.2506725490093231,0.7573249340057373,0.4451598,True,0.0497802436482534,0.0239780699155179,0.628980649220116,0.0239780699155179,0.5548402,0.5919104246100579
1,15,3,2,OSI,0.8460020321881097,False,0.577869724389761,0.0431772544980049,0.3646272718906402,-0.4085453152656555,0.37203053,True,0.0643984313913284,0.0339308624896668,0.5189205705109718,0.0339308624896668,0.62796947,0.5734450202554859
2,15,3,2,OSI,0.7671203259848203,False,0.4989880181864716,0.0416710190474987,0.4068524539470672,0.2204179167747497,0.35627016,True,0.0690260616393881,0.0373971120434392,0.5279057583531416,0.0373971120434392,0.64372984,0.5858177991765707
1,16,3,2,OSI,0.7950288910737446,False,0.526896583275396,0.1198042854666709,1.3544607162475586,-0.0043360888957977,0.90394723,True,0.1219829667462613,0.0897179718761068,0.06181523096406889,0.0897179718761068,0.09605277000000001,0.07893400048203444
2,16,3,2,OSI,0.7071711274530122,False,0.4390388196546635,0.0270150415599346,0.2237369269132614,0.1135780587792396,0.41415146,True,0.045777341495617,0.0215044306674257,0.6153334647533051,0.0215044306674257,0.58584854,0.6005910023766525
3,16,3,2,OSI,0.6748119301157918,True,0.4066796223174431,0.0414376594126224,0.2204884886741638,0.6554300785064697,0.38207507,True,0.0452781410039114,0.0212032429542737,0.5292978250140604,0.0212032429542737,0.61792493,0.5736113775070302
4,16,3,2,OSI,0.8080077436062911,True,0.5398754358079425,0.0213470682501792,0.1869841367006302,0.1164099872112274,0.39767933,True,0.0399073653975466,0.0180632175093979,0.6491447821376097,0.0180632175093979,0.60232067,0.6257327260688048
5,16,3,2,OSI,0.7472890868055475,False,0.4791567790071988,0.0536424182355403,0.2953291237354278,0.9053171873092652,0.40530977,True,0.0559220684446682,0.0279802506981503,0.4564924408654923,0.0279802506981503,0.59469023,0.5255913354327462
1,17,3,2,OSI,0.7303991786916031,False,0.4622668708932544,0.1138243302702903,1.7420235872268677,0.4703030884265899,0.38896886,True,0.1316292052293611,0.1021633423934056,0.09748762249434466,0.1021633423934056,0.6110311399999999,0.35425938124717227
2,17,3,2,OSI,0.686018118260175,False,0.4178858104618263,0.0290512330830097,0.1966190338134765,0.65142422914505,0.15511414,True,0.0414946193871976,0.018972248010666,0.6031869153467598,0.018972248010666,0.84488586,0.72403638767338
1,18,3,2,OSI,0.8186346048688705,False,0.5505022970705218,0.0242272671312093,0.186095654964447,-0.4871293604373932,0.54064345,True,0.0397591876827777,0.0179791580739726,0.6319634523792608,0.0179791580739726,0.45935655,0.5456600011896304
