ObjectNumber,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Rc,Region_Ed,Region_pixels_sum,Cell_Ed,Cell_pixels_sum
1,A549,2,AFA,0,1,32,1,0,,0,0,146929
1,A549,2,AFA,0,1,32,1,0.55,,0,,6
1,A549,2,AFA,0,1,32,1,0.6,,0,,8
1,A549,2,AFA,0,1,32,1,0.65,,0,,9
1,A549,2,AFA,0,1,32,1,0.7,,0,0.18797463178634644,18
1,A549,2,AFA,0,1,32,1,0.75,,0,0.17538988590240479,16
1,A549,2,AFA,0,1,32,1,0.8,,0,0.17774561047554016,25
1,A549,2,AFA,0,1,32,1,0.85,,0,0.1606752574443817,31
1,A549,2,AFA,0,1,32,1,0.9,,0,0.17457042634487152,43
1,A549,2,AFA,0,1,32,1,0.95,,0,0.16704091429710388,56
1,A549,2,AFA,0,1,32,1,1,,0,0.17445793747901917,63
1,A549,2,AFA,0,1,32,1,1.05,,0,0.17301557958126068,83
1,A549,2,AFA,0,1,32,1,1.1,,0,0.18349076807498932,69
1,A549,2,AFA,0,1,32,1,1.15,,0,0.18260177969932556,74
1,A549,2,AFA,0,1,32,1,1.2,,0,0.1765752136707306,93
1,A549,2,AFA,0,1,32,1,1.25,,0,0.174203559756279,96
1,A549,2,AFA,0,1,32,1,1.3,,0,0.18383373320102692,101
1,A549,2,AFA,0,1,32,1,1.35,,0,0.1824622005224228,116
1,A549,2,AFA,0,1,32,1,1.4,,0,0.19925464689731598,106
1,A549,2,AFA,0,1,32,1,1.45,,0,0.191910520195961,116
1,A549,2,AFA,0,1,32,1,1.5,,0,0.19465847313404083,121
1,A549,2,AFA,0,1,32,1,1.55,,0,0.19386978447437286,157
1,A549,2,AFA,0,1,32,1,1.6,,0,0.19162125885486603,146
1,A549,2,AFA,0,1,32,1,1.65,,0,0.2107343077659607,177
1,A549,2,AFA,0,1,32,1,1.7,,0,0.1947745680809021,173
1,A549,2,AFA,0,1,32,1,1.75,,0,0.1966221183538437,184
1,A549,2,AFA,0,1,32,1,1.8,,0,0.20260106027126312,186
1,A549,2,AFA,0,1,32,1,1.85,,0,0.21795643866062164,206
1,A549,2,AFA,0,1,32,1,1.9,,0,0.20725692808628082,188
1,A549,2,AFA,0,1,32,1,1.95,,0,0.20936650037765503,216
1,A549,2,AFA,0,1,32,1,2,,0,0.2084585726261139,243
1,A549,2,AFA,0,1,32,1,2.05,,0,0.2180427461862564,254
1,A549,2,AFA,0,1,32,1,2.1,,0,0.21158510446548462,270
1,A549,2,AFA,0,1,32,1,2.15,,0,0.22355495393276215,301
1,A549,2,AFA,0,1,32,1,2.2,,0,0.23402579128742218,289
1,A549,2,AFA,0,1,32,1,2.25,,0,0.23591652512550354,356
1,A549,2,AFA,0,1,32,1,2.3,,0,0.23142988979816437,373
1,A549,2,AFA,0,1,32,1,2.35,,0,0.23902277648448944,377
1,A549,2,AFA,0,1,32,1,2.4,,0,0.24377846717834473,424
1,A549,2,AFA,0,1,32,1,2.45,,0,0.24757736921310425,455
1,A549,2,AFA,0,1,32,1,2.5,,0,0.253143310546875,546
1,A549,2,AFA,0,1,32,1,2.55,,0,0.2501014471054077,564
1,A549,2,AFA,0,1,32,1,2.6,,0,0.25731852650642395,604
1,A549,2,AFA,0,1,32,1,2.65,,0,0.2643855810165405,560
1,A549,2,AFA,0,1,32,1,2.7,,0,0.26343318819999695,624
1,A549,2,AFA,0,1,32,1,2.75,,0,0.2704373896121979,683
1,A549,2,AFA,0,1,32,1,2.8,,0,0.27378571033477783,748
1,A549,2,AFA,0,1,32,1,2.85,,0,0.2817186713218689,719
1,A549,2,AFA,0,1,32,1,2.9,,0,0.27912840247154236,707
1,A549,2,AFA,0,1,32,1,2.95,,0,0.2853691875934601,753
1,A549,2,AFA,0,1,32,1,3,,0,0.27900007367134094,794
1,A549,2,AFA,0,1,32,1,3.05,,0,0.2835567891597748,798
1,A549,2,AFA,0,1,32,1,3.1,,0,0.284394770860672,830
1,A549,2,AFA,0,1,32,1,3.15,,0,0.28945305943489075,815
1,A549,2,AFA,0,1,32,1,3.2,,0,0.2930726110935211,831
1,A549,2,AFA,0,1,32,1,3.25,,0,0.29240936040878296,825
1,A549,2,AFA,0,1,32,1,3.3,,0,0.29435840249061584,823
1,A549,2,AFA,0,1,32,1,3.35,,0,0.29585856199264526,756
1,A549,2,AFA,0,1,32,1,3.4,,0,0.2979607880115509,792
1,A549,2,AFA,0,1,32,1,3.45,,0,0.2987057864665985,763
1,A549,2,AFA,0,1,32,1,3.5,,0,0.3011232018470764,748
1,A549,2,AFA,0,1,32,1,3.55,,0,0.3023416996002197,670
1,A549,2,AFA,0,1,32,1,3.6,,0,0.29987964034080505,713
1,A549,2,AFA,0,1,32,1,3.65,,0,0.29977619647979736,665
1,A549,2,AFA,0,1,32,1,3.7,,0,0.3017321527004242,642
1,A549,2,AFA,0,1,32,1,3.75,,0,0.30569988489151,652
1,A549,2,AFA,0,1,32,1,3.8,,0,0.3033019006252289,599
1,A549,2,AFA,0,1,32,1,3.85,,0,0.30655884742736816,558
1,A549,2,AFA,0,1,32,1,3.9,,0,0.30972543358802795,514
1,A549,2,AFA,0,1,32,1,3.95,,0,0.3102863132953644,489
1,A549,2,AFA,0,1,32,1,4,,0,0.3056374788284302,486
1,A549,2,AFA,0,1,32,1,4.05,,0,0.30682188272476196,477
1,A549,2,AFA,0,1,32,1,4.1,,0,0.30854660272598267,448
1,A549,2,AFA,0,1,32,1,4.15,,0,0.3071979880332947,395
1,A549,2,AFA,0,1,32,1,4.2,,0,0.315213680267334,357
1,A549,2,AFA,0,1,32,1,4.25,,0,0.3057228624820709,331
1,A549,2,AFA,0,1,32,1,4.3,,0,0.3122574985027313,327
1,A549,2,AFA,0,1,32,1,4.35,,0,0.31224551796913147,292
1,A549,2,AFA,0,1,32,1,4.4,,0,0.31187593936920166,246
1,A549,2,AFA,0,1,32,1,4.45,,0,0.3092145025730133,261
1,A549,2,AFA,0,1,32,1,4.5,,0,0.3020132780075073,207
1,A549,2,AFA,0,1,32,1,4.55,,0,0.3220370411872864,198
1,A549,2,AFA,0,1,32,1,4.6,,0,0.3133084774017334,178
1,A549,2,AFA,0,1,32,1,4.65,,0,0.29841864109039307,172
1,A549,2,AFA,0,1,32,1,4.7,,0,0.30669519305229187,157
1,A549,2,AFA,0,1,32,1,4.75,,0,0.32031217217445374,167
1,A549,2,AFA,0,1,32,1,4.8,,0,0.32859012484550476,138
1,A549,2,AFA,0,1,32,1,4.85,,0,0.3237767517566681,132
1,A549,2,AFA,0,1,32,1,4.9,,0,0.3107512891292572,127
1,A549,2,AFA,0,1,32,1,4.95,,0,0.31837892532348633,110
1,A549,2,AFA,0,1,32,1,5,,0,0.3173457384109497,89
1,A549,2,AFA,0,1,32,1,5.05,,0,0.32548031210899353,89
1,A549,2,AFA,0,1,32,1,5.1,,0,0.32330939173698425,88
1,A549,2,AFA,0,1,32,1,5.15,,0,0.32928019762039185,83
1,A549,2,AFA,0,1,32,1,5.2,,0,0.33831408619880676,78
1,A549,2,AFA,0,1,32,1,5.25,,0,0.3313737213611603,71
1,A549,2,AFA,0,1,32,1,5.3,,0,0.35637691617012024,87
1,A549,2,AFA,0,1,32,1,5.35,,0,0.3320697546005249,69
1,A549,2,AFA,0,1,32,1,5.4,,0,0.32588833570480347,56
1,A549,2,AFA,0,1,32,1,5.45,,0,0.3494184911251068,53
1,A549,2,AFA,0,1,32,1,5.5,,0,0.35266172885894775,48
1,A549,2,AFA,0,1,32,1,5.55,,0,0.3609597682952881,53
1,A549,2,AFA,0,1,32,1,5.6,,0,0.34368327260017395,50
